con,hip1,hip2,hip3,angle1,angle2,angle3
CrA,91875.0,93542.0,94160.0,33.85589913134146,71.9722984683086,74.30539036621843
CrA,91875.0,94160.0,92953.0,49.26518674862789,62.728779891674485,68.17790458217434
CrA,94160.0,90887.0,91875.0,15.042263006500033,31.120286441923668,133.9231888250669
CrA,94160.0,91875.0,92989.0,27.107494146604356,33.36850131740159,119.59221928958831
CrA,91875.0,94160.0,93174.0,34.52317732840385,35.09847150240346,110.4606753115099
CrA,91875.0,94160.0,93825.0,27.27535318292733,63.23150959136726,89.59001114746724
CrA,91875.0,94160.0,94114.0,16.054612935425173,76.43828641111824,87.57080989127287
CrA,91875.0,94005.0,94160.0,13.23294980685919,83.07176994446625,83.7495537969544
CrA,91875.0,93542.0,94160.0,33.85589913134146,71.9722984683086,74.30539036621843
CrA,91875.0,94160.0,92953.0,49.26518674862789,62.728779891674485,68.17790458217434
CrA,91875.0,93542.0,94005.0,20.622949324473797,77.9956540113959,81.46595145865733
CrA,91875.0,94005.0,92953.0,36.0322369417623,68.09206536179178,76.00926490091332
CrA,94005.0,90887.0,91875.0,18.979495509393946,40.43275050685023,120.69023901819727
CrA,94005.0,91875.0,92989.0,30.682470503089167,46.6014511242641,102.80632982755073
CrA,94005.0,91875.0,93174.0,37.64719977565753,47.75612713526595,94.70437525180051
CrA,91875.0,94005.0,93825.0,40.50830298979036,60.95805309803987,78.67117602122961
CrA,91875.0,94005.0,94114.0,29.28756274229014,72.25174366958028,78.57356292839444
CrA,91875.0,94005.0,94160.0,13.23294980685919,83.07176994446625,83.7495537969544
CrA,91875.0,93542.0,94005.0,20.622949324473797,77.9956540113959,81.46595145865733
CrA,91875.0,94005.0,92953.0,36.0322369417623,68.09206536179178,76.00926490091332
CrA,91875.0,93542.0,92953.0,15.409287617284926,70.62687565522532,94.0248186899881
CrA,93542.0,90887.0,91875.0,24.226625780365698,55.82468610178579,100.0672896937223
CrA,93542.0,91875.0,92989.0,30.838095369449068,67.22440044874313,82.0533376692286
CrA,93542.0,91875.0,93174.0,35.98536408214346,68.37907645974178,75.77236092580021
CrA,93542.0,91875.0,93825.0,53.440306836688265,61.13125231426624,65.61600973064031
CrA,91875.0,93542.0,94114.0,49.9105120667664,62.68048431213198,67.58755365145015
CrA,91875.0,93542.0,94160.0,33.85589913134146,71.9722984683086,74.30539036621843
CrA,91875.0,93542.0,94005.0,20.622949324473797,77.9956540113959,81.46595145865733
CrA,91875.0,93542.0,92953.0,15.409287617284926,70.62687565522532,94.0248186899881
CrA,92953.0,90887.0,91875.0,28.788323055059863,66.66704005225287,84.6580020764338
CrA,92953.0,92989.0,91875.0,30.29712928154848,67.18701869302919,82.63368806603071
CrA,92953.0,93174.0,91875.0,34.43624687557745,61.91375429089624,83.78836407702822
CrA,92953.0,93825.0,91875.0,49.28533332756494,54.37117417762205,76.54053993155223
CrA,94114.0,92953.0,91875.0,56.71831183205101,58.162499614110345,65.31979968405386
CrA,91875.0,94160.0,92953.0,49.26518674862789,62.728779891674485,68.17790458217434
CrA,91875.0,94005.0,92953.0,36.0322369417623,68.09206536179178,76.00926490091332
CrA,91875.0,93542.0,92953.0,15.409287617284926,70.62687565522532,94.0248186899881
CrA,91875.0,92953.0,92953.0,1.0386604689550578e-05,89.99999509049846,89.99999509049846
CrA,92989.0,90887.0,91875.0,6.224948338793889,6.497060378703869,167.29169014249527
CrA,93174.0,90887.0,91875.0,5.203960006237114,6.36428489985712,168.4463661534354
CrA,93825.0,90887.0,91875.0,6.758077802405359,12.077624861751564,161.1985420079938
CrA,94114.0,90887.0,91875.0,10.13818021829558,19.9419700932292,149.97780176049062
CrA,94160.0,90887.0,91875.0,15.042263006500033,31.120286441923668,133.9231888250669
CrA,94005.0,90887.0,91875.0,18.979495509393946,40.43275050685023,120.69023901819727
CrA,93542.0,90887.0,91875.0,24.226625780365698,55.82468610178579,100.0672896937223
CrA,92953.0,90887.0,91875.0,28.788323055059863,66.66704005225287,84.6580020764338
CrA,91875.0,93174.0,92989.0,1.1546760109811751,6.698285216258545,172.14857094292967
CrA,91875.0,93825.0,92989.0,6.093148134454999,8.492420413065515,165.4261797033523
CrA,91875.0,94114.0,92989.0,17.31388838197507,18.22673473692172,144.4952821364685
CrA,94160.0,91875.0,92989.0,27.107494146604356,33.36850131740159,119.59221928958831
CrA,94005.0,91875.0,92989.0,30.682470503089167,46.6014511242641,102.80632982755073
CrA,93542.0,91875.0,92989.0,30.838095369449068,67.22440044874313,82.0533376692286
CrA,92953.0,92989.0,91875.0,30.29712928154848,67.18701869302919,82.63368806603071
CrA,91875.0,93825.0,93174.0,7.247824145500288,15.215049612662575,157.55348066062504
CrA,91875.0,94114.0,93174.0,18.468564392986767,26.3984935678634,135.17770454048306
CrA,91875.0,94160.0,93174.0,34.52317732840385,35.09847150240346,110.4606753115099
CrA,94005.0,91875.0,93174.0,37.64719977565753,47.75612713526595,94.70437525180051
CrA,93542.0,91875.0,93174.0,35.98536408214346,68.37907645974178,75.77236092580021
CrA,92953.0,93174.0,91875.0,34.43624687557745,61.91375429089624,83.78836407702822
CrA,91875.0,94114.0,93825.0,11.220740247501013,60.71850971295097,108.1007644407379
CrA,91875.0,94160.0,93825.0,27.27535318292733,63.23150959136726,89.59001114746724
CrA,91875.0,94005.0,93825.0,40.50830298979036,60.95805309803987,78.67117602122961
CrA,93542.0,91875.0,93825.0,53.440306836688265,61.13125231426624,65.61600973064031
CrA,92953.0,93825.0,91875.0,49.28533332756494,54.37117417762205,76.54053993155223
CrA,91875.0,94160.0,94114.0,16.054612935425173,76.43828641111824,87.57080989127287
CrA,91875.0,94005.0,94114.0,29.28756274229014,72.25174366958028,78.57356292839444
CrA,91875.0,93542.0,94114.0,49.9105120667664,62.68048431213198,67.58755365145015
CrA,94114.0,92953.0,91875.0,56.71831183205101,58.162499614110345,65.31979968405386
CrA,91875.0,94005.0,94160.0,13.23294980685919,83.07176994446625,83.7495537969544
CrA,91875.0,93542.0,94160.0,33.85589913134146,71.9722984683086,74.30539036621843
CrA,91875.0,94160.0,92953.0,49.26518674862789,62.728779891674485,68.17790458217434
CrA,91875.0,93542.0,94005.0,20.622949324473797,77.9956540113959,81.46595145865733
CrA,91875.0,94005.0,92953.0,36.0322369417623,68.09206536179178,76.00926490091332
CrA,91875.0,93542.0,92953.0,15.409287617284926,70.62687565522532,94.0248186899881
CrA,93825.0,92989.0,93174.0,6.722629199557215,22.425249354024384,150.85519544423735
CrA,94114.0,92989.0,93174.0,8.171758830933335,43.3561469206858,128.4794193242439
CrA,94160.0,92989.0,93174.0,7.99097735579515,68.25920976752445,103.76239009530607
CrA,94005.0,92989.0,93174.0,6.964729272574435,85.04509922955728,88.00609003560695
CrA,93542.0,93174.0,92989.0,5.147268712691727,69.07407570962395,105.79809138785248
CrA,92953.0,93174.0,92989.0,4.139117594034769,55.215469074718605,120.66441036405013
CrA,90887.0,93174.0,92989.0,0.1327754791128418,1.4943252115076462,178.37351928005342
CrA,91875.0,93174.0,92989.0,1.1546760109811751,6.698285216258545,172.14857094292967
CrA,92989.0,93174.0,93174.0,0.000120136600971,89.99994807721973,89.99994807721973
CrA,93825.0,92989.0,93174.0,6.722629199557215,22.425249354024384,150.85519544423735
CrA,94114.0,92989.0,93174.0,8.171758830933335,43.3561469206858,128.4794193242439
CrA,94160.0,92989.0,93174.0,7.99097735579515,68.25920976752445,103.76239009530607
